"New Relic Observability Platform
FedRAMP Moderate Customer Responsibility Matrix (CRM) Worksheet",,
"This CRM provides details for a Customer of what their responsibilities are for a given control, including responsibilities for optional services (applicable depending on which services the customer acquires).  The CRM contains information for what a Customer needs to implement in order to obtain and maintain their authorization/certification. The Customer responsibility outlines the remaining controls that need to be implemented by the leveraging entity for compliance. 


GUIDANCE: 

1.  Review the CRM to define all the controls that will need to be engineered, designed, defined and implemented in order to be in compliance with the FedRAMP baseline.
2.  Mark controls with ""Yes"" designation in the ""Can Be Inherited from CSP"" column as Fully Inherited from New Relic F1607057910 FedRAMP Authorized: 03/02/2020.
3.  Mark controls with ""Partial"" designation in the ""Can Be Inherited from CSP"" column as Partially Inherited from New Relic F1607057910 FedRAMP Authorized: 03/02/2020. Customers must describe their responsibilities in their Customer-level system security plan.
4.  Controls with a ""No"" designation in the ""Can Be Inherited from CSP"" column cannot be Fully nor Partially inherited.  Customers must describe their responsibilities in their Customer-level system security plan.
",,
,,
Control ID,Can Be Inherited from CSP,Specific Inheritance and Customer Agency/CSP Responsibilities
AC-1(a),No,Customers should produce policies and procedures that satisfy FedRAMP-defined requirements for their workforce.  New Relic does not govern nor have insight into its Customers policies and procedures.
AC-1(b),No,"Customers should designate personnel to manage the development, documentation, and dissemination of its policies and procedures. "
AC-1(c),No,Customers should perform reviews and updates to their policies and procedures such that they satisfy FedRAMP-defined requirements.  New Relic does not govern nor have insight into its Customers policy and procedure management lifecycle.
AC-2(a),Yes,
AC-2(b),No,Customers must assign account managers for its users.
AC-2(c),No,Customers should establish conditions for group and role membership in accordance with their access control requirements.
AC-2(d),No,Customers should identify users within their organization and specify the conditions for those users to belong to groups and be assigned platform roles. This can be achieved by establishing a New Relic account structure.  See  Introduction to user management and Important user management concepts.
AC-2(e),No,"Customers should require approval for each platform account type requested in accordance with their access control requirements.
"
AC-2(f),No,"Customers should perform all account management activities (e.g., creation, enablement, modification, disablement, and removal) in accordance with their access control requirements.  Customers can utilize New Relic’s SAML SSO and SCIM provisioning features to set up automatic controls. See Get started with SAML SSO and/or SCIM."
AC-2(g),Partial,Customers should monitor use of their platform end user accounts.  Customers can use NrAuditEvent and set up alerts to meet their monitoring needs.  See NRAuditEvent: Query account audit logs.
AC-2(h),No,Customers should notify its account managers when accounts are no longer needed and  personnel with accounts and platform access are terminated or transferred or when their usage or need-to-know changes in accordance with their access control requirements.
AC-2(i),No,Customers should only grant access to the platform based on their established access control requirements. See Important user management concepts.
AC-2(j),No,Customers should review their platform end user accounts for compliance with their established account management requirements at a frequency and in accordance with their access control requirements.
AC-2(k),No,"If Customers share credentials, they should establish a process for changing credentials in the event that a person’s access is removed or terminated."
AC-2(l),No,Customers should ensure that they align their platform account management processes with their personnel termination and transfer process to ensure former personnel do not retain access to resources.
AC-2(1),Partial,"Customers can enable automated user management (AUM).  Customers can import, update, and deactivate New Relic platform users via SCIM provisioning from their identity provider (for example, Azure AD, Okta, or OneLogin)."
AC-2(2),No,"Should Customers utilize temporary and/or emergency accounts, Customers can provision these account types within their identity and access management infrastructure to comply with FedRAMP requirements.  New Relic’s SAML SSO and SCIM provisioning features that allows its Customer end users to use their own PIV authenticators andFICAM third-party credentials to identify and authenticate onto the platform, enabling Customers to meet their identity and access management compliance needs (e.g., PIV SSO, etc.). See Get started with SAML SSO and/or SCIM.  Otherwise, Customers will need to monitor their platform to remove temporary and/or emergency accounts to satisfy this requirement."
AC-2(3)(a),No,Customers should ensure that they disable or delete any of their end user accounts that are no longer needed.     
AC-2(3)(b),No,"Customers should ensure that they disable or delete any of their end user accounts that are no longer needed.     
"
